doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-31,patient,ss-4,a 24-year-old man,یک مرد ۲۴ ساله,,[],0,0,0,0,"[20, 22]"
02b07905-fc8e-5aae-a233-741242b2f0ab+9,event-14,patient,ss-3,the defendant,متهمان,,[],0,0,0,0,"[29, 30]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,anchor,ss-50,control,,بازپس گیری,"['بازپس', 'گیری']",2,3,11,21,"[5, 5]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,patient,ss-21,which,,که,['که'],9,9,45,47,"[9, 9]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,agent,ss-11,the ex-Soviet republic,,جمهوری سابق شوروی,"['جمهوری', 'سابق', 'شوروی']",36,38,152,169,"[13, 15]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,South Korean sightseers,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+2,event-17,anchor,ss-55,bomb,بمب‌ها,,[],0,0,0,0,"[1, 1]"
1388473e-8170-50b9-8361-8aeb3c6e6523+2,event-16,patient,ss-5,churches,,کلیساها,['کلیساها'],34,34,150,157,"[33, 33]"
1388473e-8170-50b9-8361-8aeb3c6e6523+3,event-3,agent,ss-12,its,وزارت اروپا و امور خارجه فرانسه,,[],0,0,0,0,"[27, 27]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-10,agent,ss-12,it,وزارت امور خارجه فرانسه,,[],0,0,0,0,"[6, 6]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-34,patient,ss-2,religious minorities,,اقلیت های مذهبی,"['اقلیت', 'های', 'مذهبی']",44,46,214,229,"[52, 53]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+10,event-30,anchor,ss-52,bail,تعیین,,[],0,0,0,0,"[6, 6]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+5,event-18,patient,ss-1,The six,,این شش نفر,"['این', 'شش', 'نفر']",0,2,0,10,"[0, 1]"
1c43e469-a33c-5d19-983b-e1a06868092d+10,event-34,patient,ss-19,16 others,,۱۶ نفر دیگر,"['۱۶', 'نفر', 'دیگر']",30,32,123,134,"[31, 32]"
1c43e469-a33c-5d19-983b-e1a06868092d+5,event-32,patient,ss-6,15,,۱۵ نفر,"['۱۵', 'نفر']",10,11,42,48,"[12, 12]"
206ea1ce-50ed-56d9-ab4c-b4235a732af8+0,event-17,anchor,ss-28,resumes,سر,از سر می گیرد,"['از', 'سر', 'می', 'گیرد']",9,12,45,58,"[2, 2]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+1,event-12,patient,ss-3,the country ’ s 120 doctors,پزشک کشور است که در طول شیوع بیماری فوت کرده‌است .,,[],0,0,0,0,"[6, 11]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+8,event-24,agent,ss-2,Willoughby,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+14,event-23,agent,ss-2,Willoughby,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-14,anchor,ss-29,die,دست,جان خود را از دست داده است,"['جان', 'خود', 'را', 'از', 'دست', 'داده', 'است']",13,19,63,89,"[14, 14]"
297c8019-b2d4-5b5a-b583-d1fab158e907+10,event-16,agent,ss-7,it,دولت مکزیک,,[],0,0,0,0,"[4, 4]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+0,event-9,anchor,ss-23,corruption,فساد نتانیاهو شد .,فساد,['فساد'],7,7,38,42,"[6, 6]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+4,event-6,patient,ss-14,his,آقای عثمان,,[],0,0,0,0,"[15, 15]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+5,event-8,anchor,ss-24,articles,کمک,نشریات,['نشریات'],4,4,16,22,"[2, 2]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+7,event-10,anchor,ss-26,mocking,مقالات,,[],0,0,0,0,"[8, 8]"
2d037849-5f69-5973-a022-8398433d5a82+5,event-2,agent,ss-7,the university,دانشگاه را تنها در صورتی ترک خواهند کرد که دانشگاه,دانشگاه,['دانشگاه'],14,14,63,70,"[8, 9]"
